LÔ-MÁ-JĪ,HÔA-GÍ,IA̍H-SÒ͘,LÔ-MÁ-JĪ2,LÔ-MÁ-JĪ3
a2,或、或是、還是,1,a2-si7,
a,阿,1,,
a-tsoo2,曾祖父（母）,1,lai7-tsoo2,
a-tsoo2,曾祖父（母）,1,gua7-tsoo2,
a-kong,爺爺、內祖父,2,lai7-kong,
a-kong,公公、外祖父,2,gua7-kong,
a-ma2,奶奶、內祖母,2,lai7-ma2,
a-ma3,婆婆、外祖母,2,gua7-ma2,
a-koo,姑姑、姑母,3,,
koo-tiunn7,姑父,3,,
a-ku7,舅舅、舅父,3,,
a-kim7,舅母,3,,
a-i5,姨母,3,,
i5-tiunn7,姨父,4,,
a-peh,伯伯、伯父,4,,
a-m2,伯母,4,,
a-tsik,叔叔、叔父,4,,
a-tsim2,嬸嬸、叔母,4,,
a-hiann,哥哥,5,,
a-so2,嫂嫂,5,,
a-tsiu,亞洲,5,,
a-phian3,鴉片,5,,
ann7,餡,5,,
ann3 loh8-khi3,彎腰、俯下去,5,,
ah,鴨,6,ah-a2,
ah-bu2,母鴨,6,ah-bo2,
ah-kang,公鴨,6,,
ah-nng7,鴨蛋,6,,
ah-ban,鴨肉,6,,
ai3,要、愛、喜歡,6,,
tsin-ai3,很喜歡,6,,
tsin-bo5-ai3,很不喜歡,6,,
khah-ai3,比較喜歡、寧願,7,,
khah bo5-ai3,比較不喜歡,7,,
long2-ai3,都喜歡,7,,
long2 bo5-ai3,都不喜歡,7,,
bo5 sim2-mih ai3 ,不怎麼喜歡,7,,
kek8-ai3,最喜歡,7,,
put-tsi2-ai3,很喜歡,8,,
hui-siong5 ai3,非常喜歡,8,,
siong7-ai3,最喜歡,8,,
te7 it ai3,最喜歡,8,,
ai3,有‧‧‧之癖的,8,,
ai3-boo7,愛慕,8,,
ai3-khun3,愛睡的,9,,
ai3-jin5,愛人、意中人,9,,
ai3-tsing5,愛情,9,,
ai3-kok-sim,愛國心,9,,
ai-kiu5,哀求、懇求,9,,
ai-king,哀矜,10,,
ai-kip8,埃及,10,,
ai3-mai7,曖昧,10,,
ainn7,背,10,,
ak-hue,澆水（花）,10,,
ak-hoo7,淋雨,11,,
ak-tioh8-hoo7,淋著雨,11,,
ak-tsui2,澆水,11,,
ak-tshiu2,握手,11,,
am3-si5,晚上,12,,
am3,暗,12,,
ing-am3,今天晚上,12,,
tsang-am3,昨天晚上,12,,
bueh-am3-a2,黃昏,12,bueh-am3-a2-si5,
am3-kho3,晚課,12,,
liam7 am3-kho3,念晚課,12,,
am2,泔,12,kho2,
am2-mue5,稀飯,12,,
am3-ki3,暗記、背念,12,,
am3-siong7,背誦,13,,
am3-ho7,暗號,13,,
am3-sik,暗室,13,,
am3-sat,暗殺,13,,
am3-si7,暗示,13,,
am5-khang,暗渠、暗溝,14,,
an2-tsuann2,怎麼,14,tsai2-iunn7,na2
an2-ni,這樣、如此,14,,
an5,緊,14,,
an-tsuan5,安全,14,,
an-tsuan5 te7-it,安全第一,14,,
an-sim,放心,14,,
an-lok8,安樂,15,,
an-un2,安穩,15,,
an-ui3,安慰,15,,
an3-sng3,打算,15,,
an3-kiann7,案件,16,,
ang5,紅,16,,
ang5-sik,紅色,16,,
ang5-te5,紅茶,16,,
ang5-inn-a2,嬰孩,16,ang5-enn-a2,
senn ang5-enn-a2,生嬰孩,16,sinn ang5-inn-a2,
ang-a2,玩偶、洋娃娃、卡通,16,,
ang-a2 too5,卡通、圖畫,16,,
ang,丈夫,17,,
ang-boo2,夫妻,17,,
ang5-phue5-tshai3,茄子,17,kio5,
ang5-moo5-thoo5,水泥,17,ang5-mng5-thoo5,tsui2-ni5
ap8,盒,17,,
ap-pik,壓迫,17,,
at,折,18,,
au7,後,18,,
au7-piah,後面,18,,
au7-bin7,後面,18,,
au7-pai2,下次、往後,18,,
au7-lai5,後來,18,,
au7--jit8,後天,18,,
au7-jit8,後來、以後,18,,
au7,後、下,18,,
au7-ku3,下句,19,,
au7 le2-pai3,下個禮拜（星期）,19,,
au7-tsu2-jit8,下個主日,19,,
au7-koo2-gueh8,下個月,19,,
au7-gueh8-jit8,下個月,19,,
au7 le2-pai3 goo7,下個禮拜五,19,,
au7-ni5,將來,19,,
au7--ni5,後年,19,,
au-a2,甌、杯子,19,,
au-tsiu,歐洲,19,,
au3,腐,19,,
au2,折,20,,
au7-bu2,後母、繼母,20,au7-bo2,
ba7,碼,20,,
ba5,麻痹,20,,
ba5-ioh8,麻醉藥,20,,
ba7,緊、密合的、密閉的,20,bat8,
bah,肉,21,,
ti-bah,猪肉,21,,
gu5-bah,牛肉,21,,
iunn5-bah,羊肉,21,,
ke-bah,鷄肉,21,,
ah-bah,鴨肉,21,,
tsiann-bah,瘦肉,21,san2-bah,
pui5-bah,肥肉,21,,
bah-thng,肉湯,21,,
bah-suh,公共汽車、巴士,22,,
bai2,醜,22,,
bai7,看,22,,
tshi3 khuann3-bai7,試試看,22,,
tsiah8 khuann3 bai7,吃吃看,22,,
khi3 khuann3 bai7,去看看,22,,
tso3 khuann3-bai7,做做看,22,,
phinn7 khuann3 bai7,聞聞看,22,,
bak8-tsiap,眼淚,22,,
bak8-sai2,眼淚,22,,
bak8-tsiu,眼睛,22,,
tsit8 bak8 nih-a2,一瞬間,22,,
bak8-iu5,目油（眼淚）,23,,
bak8-bai5,眉毛,23,,
bak8-tsiu-moo,睫毛,23,,
bak8-tsiu-jin5,眼珠,23,,
bak8-tsiu-phue5,眼瞼,23,,
bak8-ioh8,眼藥,23,,
bak8-sai2-ko,眼脂,23,,
bak8-kiann3,眼鏡,23,,
kua3 bak8-kiann3,戴眼睛,23,,
bak8-tshiunn7-sai-hu7,木匠,23,,
bak8-tsui2,墨水,23,,
bak tsui2,玩水,24,,
bak8-kiah8,木屐,24,,
ban7,慢、緩,24,,
ban7,萬,24,,
tsit8 pah ban7,一百萬,24,,
ban7-it,萬一,24,,
ban7-lian5 pit,自來水筆、萬年筆、鋼筆,24,,
ban2,採、摘,25,,
ban2 te5,採茶葉,25,,
ban2 ong5-lai5,摘鳳梨,25,,
ban2 hue,採花,25,,
ban2 tshai3,摘菜,25,,
ban5,慢,25,,
bang7,夢,25,,
bang7-kinn3,夢見,25,,
bang2 ,蚊子,26,bang2-a2,
bang2-ta3,蚊帳,26,,
bang7-a2,網,26,,
bang7-a2-mng5,網屏,26,,
bang7-kiu5,網球,26,,
bang7,希望,26,,
u7 bang7,有希望,26,,
bo5 bang7,沒有希望、絕望,26,,
bat,曾經,27,,
m7-bat,未曾,27,,
bat8-sat,臭蟲,27,,
bat,認識,27,,
bat8,密,27,,
bauh8,包辦、承辦,27,pau-pan7,
be7 hiau2,不會,28,,
be2,馬,28,,
