LÔ-MÁ-JĪ,HÀN-JĪ,IA̍H-SÒ͘
Gia5-kang-tshau2,蜈蚣草,2
To2-te2-gia5-kang,倒地蜈蚣,2
To2-ki5-lin5,倒麒麟,2
Tue7-gia5-kang,地蜈蚣,2
Ke3-lo-gia5-kang,過路蜈蚣,2
Pit-tang5-tshiu7,筆筒樹,5
Kuan3-tsiong3,貫眾,5
Kut-tshui3-poo3,骨碎補,5
Kau2-tsit,狗脊,5
Ling5-lan5-tshau2,龍麟草,6
Hong7-be2-tshau2,鳳尾草,8
Suann-neh-kiau,山蕨猫,12
Hong-put-tong7,風不動,13
Tshiu7-ling5,樹龍,13
Tsioh8-kiam3,石劍,13
Be2-be2-si,馬尾絲,14
Hong7-be2-tshau2,鳳尾草,14
Keh-niau,蕨猫,16
Ke2-kau-tshai2,過溝菜,16
Suann-ti-a2-lan7-hut8,山猪仔€核,30
Thoo2-tshuan-ni5,土川連,30
Hong7-be2-pit,鳳尾筆,30
Be2-be2-si,馬尾絲,30
Ah-kha-pe5,鴨腳筢,33
Ah-tue5-tshau2,鴨蹄草,33
Kim-tsioh8-ui2,金石韋,35
Keh-niau-tshau2,蕨猫草,39
Hong7-be2-tshau2,鳳尾草,39
Tsinn2-pinn-tshau2,井邊草,40
Tsui2-khun5-tshai2,水芹菜,42
Mng-a2,€仔,42
Tiann-tshe-tin5,鼎炊藤,43
Tin-tiong-pit,珍中筆,43
Hong7-be2-tshau2,鳳尾草,43
Tiann-tshue3-tin5,鼎刷藤,43
Si3-hioh8-tshai3,四葉菜,44
Tsui2-iam5-sng,水鹽酸,44
Khu-phio5,丘萍,44
Bok8-tsik8-tshau2,木賊草,44
Tsiap-kut-tang,接骨筒,44
Tsiap-kut-tshau2,接骨草,44
Niau-kong-tshi,貓公刺,45
Thih-kut-mng5,鐵骨毛,45
Lok8-jiong5-tshau3,鹿茸草,45
Kim-put-huan3,金不換,45
Tshit-tshun3-kim,七寸金,45
Kng2-peh,卷柏,46
Ling5-lan5-tshau2,龍麟草,46
Kng2-peh,卷柏,46
Ban7-lian5-siong5,萬年松,46
Soo-thih,蘇鐵,48
Ang5-sam,紅杉,48
Suann-sam,山杉,49
Pah-jit-tshinn,百日青,49
Tik-peh,竹柏,49
Pah-jit-tshinn,百日青,49
Thoo2-sam,土杉,49
Peh8-tshing5-peh,白松柏,50
Too7,杜,50
Iu5-sam,油杉,50
Peh8-tshing5-peh,白松柏,50
Siong5-lo5-too7,松蘿杜,50
Tshing5,松,50
Ang5-tshing5-peh,紅松柏,50
Tshing5-peh,松柏,50
Tshing5-peh,松柏,51
Pat-tiong7-san-tshing5-peh,八重山松柏,51
Tshing5-peh,松柏,51
Siong5-lo5,松蘿,51
Siong5-lo5,松蘿,51
Tshing5-peh,松柏,51
Tshing5-peh,松柏,51
Iu5-tshing5,油杉,52
Sam,杉,52
Tua7-tiam-u2-sam,大點雨杉,52
Sam,杉,52
Kong2-hioh8-sam,廣葉杉,52
Sam-a2,杉仔,52
Hok-tsiu-sam,福州杉,52
Hiunn-sam,香杉,52
Oo-sam,烏杉,52
Un-tsiu-sam,溫州杉,52
A-sam,亞杉,52
Siong5-lo5,松蘿,52
Poh8-phe5,薄皮,52
Siong5-lo5,松蘿,52
Siong5-ngoo5,松梧,52
Kau7-khak,厚殼,52
Siong5-lo5,松蘿,52
Siong5-ngoo5,松梧,52
Siau-lam5,肖楠,53
Ng5-bah-tshiu7,黃肉樹,53
Tshik-peh,側柏,53
Tsui2-tsik,水燭,54
Suann-na5-tau5,山林投,54
Na5-tau5,林投,54
Sue3-pun2-ka-tsuah8-sit8,細本蟉€翼,55
Ka-tsuah8-sit8,蟉€翼,55
Tsui2-oo7,水芋,56
Tsut8-bi2-tshau2,秫米草,58
Si-suann3-tshau2,絲線草,58
Tsinn3-tik-a2,矢竹仔,58
Tsinn3-tik,箭竹,58
Loo5-tik,蘆竹,59
Tsui2-loo5-tik,水蘆竹,59
Tng5-ki-a2-tik,長枝仔竹,60
Kak-a2-tik,桷仔竹,60
Tng5-ki-a2,長枝仔,60
He2-kng5-tik,火管竹,60
Kuan-im-tik,觀音竹,60
Hong7-be2-tik,鳳尾竹,60
Lik-tik,綠竹,60
Tsinn-tik,矢竹,60
Kuan-im-tik,觀音竹,60
Tshi3-tik,刺竹,60
Sue2-a2,黍仔,62
Tai5-a2,檯仔,62
Sue2-a2,黍仔,62
Kim-kau2-a2-mng5,金狗仔毛,62
Kau2-be2-tshau2,狗尾草,62
Ah-bu2-tsu,鴨母珠,63
Hiang-hm5,香茅,63
Mua5-tik,蔴竹,64
Phue7,稗,65
Suann-ang5-beh8,山紅麥,65
Ling5-jiau2-sik,龍爪稷、龍爪粟,65
